model,model_order,condition_index,condition_group,condition,transform,n,threshold,accuracy,precision,recall,specificity,npv,f1,macro_f1,balanced_accuracy,mcc,predicted_positive_rate,false_positive_rate,false_negative_rate,auroc,average_precision,brier,ece_15,tpr_at_fpr_1pct,tpr_at_fpr_5pct,tn,fp,fn,tp
B2,2,19,four_stage,4-stage B edit repost,color_jitter__brightness=1.15_contrast=1.15_saturation=0.85__resize__interpolation=bilinear_scale=0.5__gaussian_noise__sigma=0.05__jpeg__quality=50,2000,0.99267578,0.524,0.78571429,0.066,0.982,0.5125261,0.12177122,0.3976483,0.524,0.11964756,0.042,0.018,0.934,0.642087,0.63777799,0.46393084,0.46860596,0.042,0.124,982,18,934,66
B2,2,20,six_stage,6-stage random composition,strict_random_six__profile=full_training_range_v1,2000,0.99267578,0.54,0.68018018,0.151,0.929,0.52249719,0.24713584,0.45798117,0.54,0.12733495,0.111,0.071,0.849,0.6217415,0.61178253,0.47401471,0.47658374,0.035,0.108,929,71,849,151
M2,3,0,clean,Clean,clean,2000,0.99902344,0.7885,0.77928364,0.805,0.772,0.7983454,0.7919331,0.7884424,0.7885,0.57731443,0.5165,0.228,0.195,0.856435,0.81642883,0.48293777,0.49051416,0.0,0.363,772,228,195,805
M2,3,1,single_stage,JPEG Q90,jpeg__quality=90,2000,0.99902344,0.7895,0.78134111,0.804,0.775,0.79814624,0.79250862,0.78945573,0.7895,0.57924362,0.5145,0.225,0.196,0.859347,0.8209559,0.48293312,0.49051636,0.0,0.364,775,225,196,804
M2,3,2,single_stage,JPEG Q70,jpeg__quality=70,2000,0.99902344,0.7685,0.77595067,0.755,0.782,0.76144109,0.76533198,0.7684578,0.7685,0.53719584,0.4865,0.218,0.245,0.8465725,0.80499175,0.47910119,0.48828638,0.0,0.265,782,218,245,755
M2,3,3,single_stage,JPEG Q50,jpeg__quality=50,2000,0.99902344,0.7655,0.77399381,0.75,0.781,0.75751697,0.76180802,0.76544365,0.7655,0.53125533,0.4845,0.219,0.25,0.839471,0.79505358,0.48097287,0.48929395,0.0,0.253,781,219,250,750
M2,3,4,single_stage,JPEG Q30,jpeg__quality=30,2000,0.99902344,0.773,0.77029703,0.778,0.768,0.77575758,0.77412935,0.77299432,0.773,0.5460273,0.505,0.232,0.222,0.8429905,0.79737045,0.48317459,0.49057813,0.0,0.268,768,232,222,778
M2,3,5,single_stage,Gaussian blur sigma=0.5,gaussian_blur__sigma=0.5,2000,0.99902344,0.7985,0.8012109,0.794,0.803,0.79583746,0.79758915,0.79849592,0.7985,0.59702418,0.4955,0.197,0.206,0.8664445,0.82805221,0.48254644,0.49033496,0.0,0.3,803,197,206,794
M2,3,6,single_stage,Gaussian blur sigma=1.0,gaussian_blur__sigma=1.0,2000,0.99902344,0.788,0.78015564,0.802,0.774,0.7962963,0.79092702,0.78795844,0.788,0.57622592,0.514,0.226,0.198,0.861668,0.81836794,0.48900701,0.49388696,0.0,0.283,774,226,198,802
M2,3,7,single_stage,Gaussian blur sigma=2.0,gaussian_blur__sigma=2.0,2000,0.99902344,0.752,0.72380107,0.815,0.689,0.78832952,0.76669802,0.75101177,0.752,0.50804903,0.563,0.311,0.185,0.815776,0.76169524,0.4920654,0.4954856,0.0,0.253,689,311,185,815
M2,3,8,single_stage,Resize 0.5 bicubic,resize__interpolation=bicubic_scale=0.5,2000,0.99902344,0.7765,0.77788945,0.774,0.779,0.77512438,0.77593985,0.7764986,0.7765,0.55300691,0.4975,0.221,0.226,0.8469505,0.80203752,0.48615536,0.4922312,0.0,0.226,779,221,226,774
M2,3,9,single_stage,Resize 0.25 bilinear,resize__interpolation=bilinear_scale=0.25,2000,0.99902344,0.7365,0.73768844,0.734,0.739,0.73532338,0.7358396,0.73649835,0.7365,0.47300591,0.4975,0.261,0.266,0.807119,0.75266627,0.49026805,0.49438525,0.0,0.148,739,261,266,734
M2,3,10,single_stage,Gaussian noise sigma=0.02,gaussian_noise__sigma=0.02,2000,0.99902344,0.7785,0.78505629,0.767,0.79,0.77223851,0.77592312,0.7784707,0.7785,0.55714738,0.4885,0.21,0.233,0.850477,0.80751532,0.48466853,0.49137402,0.0,0.231,790,210,233,767
M2,3,11,single_stage,Gaussian noise sigma=0.05,gaussian_noise__sigma=0.05,2000,0.99902344,0.7685,0.77203647,0.762,0.775,0.76505429,0.76698541,0.76849022,0.7685,0.53704538,0.4935,0.225,0.238,0.8384005,0.78846068,0.48723951,0.49277344,0.0,0.209,775,225,238,762
M2,3,12,single_stage,Gaussian noise sigma=0.10,gaussian_noise__sigma=0.1,2000,0.99902344,0.7565,0.74639769,0.777,0.736,0.76746611,0.76139147,0.75639763,0.7565,0.51343172,0.5205,0.264,0.223,0.817979,0.7677789,0.49215089,0.49540869,0.0,0.209,736,264,223,777
M2,3,13,single_stage,Color jitter 0.8/0.8/0.8,color_jitter__brightness=0.8_contrast=0.8_saturation=0.8,2000,0.99902344,0.776,0.78163265,0.766,0.786,0.77058824,0.77373737,0.7759776,0.776,0.55211043,0.49,0.214,0.234,0.848126,0.8066239,0.48492055,0.49149365,0.0,0.265,786,214,234,766
M2,3,14,single_stage,Color jitter 1.2/1.2/1.2,color_jitter__brightness=1.2_contrast=1.2_saturation=1.2,2000,0.99902344,0.7675,0.75945684,0.783,0.752,0.77605779,0.77104874,0.76744413,0.7675,0.53525725,0.5155,0.248,0.217,0.8429305,0.7998777,0.48686419,0.49261157,0.0,0.302,752,248,217,783
M2,3,15,single_stage,Center crop ratio=0.8,center_crop__ratio=0.8,2000,0.99902344,0.7755,0.77467597,0.777,0.774,0.77632899,0.77583625,0.77549949,0.7755,0.55100248,0.5015,0.226,0.223,0.844801,0.79843229,0.48431839,0.49121777,0.0,0.243,774,226,223,777
M2,3,16,two_stage,2-stage resize 0.5 + JPEG Q70,resize__interpolation=bicubic_scale=0.5__jpeg__quality=70,2000,0.99902344,0.7765,0.80893855,0.724,0.829,0.75022624,0.76411609,0.77588228,0.7765,0.55607385,0.4475,0.171,0.276,0.8517,0.80859816,0.48097154,0.48928857,0.0,0.168,829,171,276,724
M2,3,17,two_stage,2-stage crop 0.8 + JPEG Q50,center_crop__ratio=0.8__jpeg__quality=50,2000,0.99902344,0.759,0.77035491,0.738,0.78,0.74856046,0.75383044,0.75889367,0.759,0.51845748,0.479,0.22,0.262,0.840349,0.79744078,0.48074649,0.48915332,0.0,0.222,780,220,262,738
M2,3,18,four_stage,4-stage A platform repost,center_crop__ratio=0.85__resize__interpolation=bicubic_scale=0.5__gaussian_blur__sigma=1.0__jpeg__quality=50,2000,0.99902344,0.7575,0.79294653,0.697,0.818,0.72970562,0.74188398,0.75660913,0.7575,0.51881197,0.4395,0.182,0.303,0.8345525,0.79104941,0.4823589,0.48995825,0.0,0.152,818,182,303,697
M2,3,19,four_stage,4-stage B edit repost,color_jitter__brightness=1.15_contrast=1.15_saturation=0.85__resize__interpolation=bilinear_scale=0.5__gaussian_noise__sigma=0.05__jpeg__quality=50,2000,0.99902344,0.7175,0.77920411,0.607,0.828,0.67813268,0.68240585,0.71400797,0.7175,0.44602859,0.3895,0.172,0.393,0.808302,0.76220911,0.48463804,0.4909375,0.0,0.083,828,172,393,607
M2,3,20,six_stage,6-stage random composition,strict_random_six__profile=full_training_range_v1,2000,0.99902344,0.6995,0.76423841,0.577,0.822,0.66024096,0.65754986,0.69492192,0.6995,0.41154255,0.3775,0.178,0.423,0.7847615,0.73564287,0.48638017,0.49182861,0.0,0.078,822,178,423,577
M3,4,0,clean,Clean,clean,2000,0.99902344,0.793,0.77079482,0.834,0.752,0.81917211,0.80115274,0.79265145,0.793,0.58798012,0.541,0.248,0.166,0.863066,0.82057311,0.47949795,0.48872656,0.0,0.0,752,248,166,834
M3,4,1,single_stage,JPEG Q90,jpeg__quality=90,2000,0.99902344,0.7935,0.77100646,0.835,0.752,0.82006543,0.80172828,0.79314374,0.7935,0.58903243,0.5415,0.248,0.165,0.8636215,0.82174994,0.47947454,0.48871387,0.0,0.0,752,248,165,835
M3,4,2,single_stage,JPEG Q70,jpeg__quality=70,2000,0.99902344,0.777,0.76841085,0.793,0.761,0.78615702,0.78051181,0.7769429,0.777,0.55428387,0.516,0.239,0.207,0.8515705,0.80824967,0.47449524,0.48581348,0.0,0.356,761,239,207,793
M3,4,3,single_stage,JPEG Q50,jpeg__quality=50,2000,0.99902344,0.771,0.76778656,0.777,0.765,0.7742915,0.77236581,0.77099176,0.771,0.54203903,0.506,0.235,0.223,0.846501,0.80313061,0.4766543,0.48700024,0.0,0.338,765,235,223,777
