model,model_order,condition_index,condition_group,condition,transform,n,threshold,accuracy,precision,recall,specificity,npv,f1,macro_f1,balanced_accuracy,mcc,predicted_positive_rate,false_positive_rate,false_negative_rate,auroc,average_precision,brier,ece_15,tpr_at_fpr_1pct,tpr_at_fpr_5pct,tn,fp,fn,tp
B1,1,10,single_stage,Gaussian noise sigma=0.02,gaussian_noise__sigma=0.02,2000,0.99560547,0.689,0.74545455,0.574,0.804,0.65365854,0.64858757,0.6848319,0.689,0.38841311,0.385,0.196,0.426,0.7924125,0.75464242,0.45805294,0.47391089,0.036,0.161,804,196,426,574
B1,1,11,single_stage,Gaussian noise sigma=0.05,gaussian_noise__sigma=0.05,2000,0.99560547,0.644,0.70338983,0.498,0.79,0.61145511,0.58313817,0.63624622,0.644,0.30112347,0.354,0.21,0.502,0.742732,0.70696071,0.46764076,0.47876147,0.025,0.181,790,210,502,498
B1,1,12,single_stage,Gaussian noise sigma=0.10,gaussian_noise__sigma=0.1,2000,0.99560547,0.6005,0.59454374,0.632,0.569,0.6072572,0.61269995,0.6001032,0.6005,0.20140008,0.5315,0.431,0.368,0.639291,0.61677425,0.49329187,0.4944292,0.018,0.086,569,431,368,632
B1,1,13,single_stage,Color jitter 0.8/0.8/0.8,color_jitter__brightness=0.8_contrast=0.8_saturation=0.8,2000,0.99560547,0.732,0.74217119,0.711,0.753,0.72264875,0.72625128,0.73188176,0.732,0.46440979,0.479,0.247,0.289,0.8171945,0.77795083,0.45970096,0.47590747,0.053,0.238,753,247,289,711
B1,1,14,single_stage,Color jitter 1.2/1.2/1.2,color_jitter__brightness=1.2_contrast=1.2_saturation=1.2,2000,0.99560547,0.7365,0.73579262,0.738,0.735,0.73721163,0.73689466,0.73649941,0.7365,0.47300213,0.5015,0.265,0.262,0.803729,0.7539741,0.45742418,0.47451636,0.0,0.097,735,265,262,738
B1,1,15,single_stage,Center crop ratio=0.8,center_crop__ratio=0.8,2000,0.99560547,0.7225,0.73201251,0.702,0.743,0.71373679,0.71669219,0.72238333,0.7225,0.44537449,0.4795,0.257,0.298,0.8047515,0.76122994,0.45960235,0.47559058,0.0,0.073,743,257,298,702
B1,1,16,two_stage,2-stage resize 0.5 + JPEG Q70,resize__interpolation=bicubic_scale=0.5__jpeg__quality=70,2000,0.99560547,0.7205,0.72340426,0.714,0.727,0.71767029,0.71867136,0.72048819,0.7205,0.44103727,0.4935,0.273,0.286,0.7917065,0.74363846,0.4682008,0.48076904,0.067,0.067,727,273,286,714
B1,1,17,two_stage,2-stage crop 0.8 + JPEG Q50,center_crop__ratio=0.8__jpeg__quality=50,2000,0.99560547,0.7215,0.72441743,0.715,0.728,0.71865745,0.71967791,0.72148823,0.7215,0.44303744,0.4935,0.272,0.285,0.7954855,0.74980425,0.46441609,0.47838818,0.0,0.07,728,272,285,715
B1,1,18,four_stage,4-stage A platform repost,center_crop__ratio=0.85__resize__interpolation=bicubic_scale=0.5__gaussian_blur__sigma=1.0__jpeg__quality=50,2000,0.99560547,0.6785,0.66855524,0.708,0.649,0.68969182,0.68771248,0.67821997,0.6785,0.35762299,0.5295,0.351,0.292,0.749359,0.70580324,0.47844067,0.48627979,0.0,0.048,649,351,292,708
B1,1,19,four_stage,4-stage B edit repost,color_jitter__brightness=1.15_contrast=1.15_saturation=0.85__resize__interpolation=bilinear_scale=0.5__gaussian_noise__sigma=0.05__jpeg__quality=50,2000,0.99560547,0.636,0.64376321,0.609,0.663,0.62903226,0.62589928,0.63573445,0.636,0.27239745,0.473,0.337,0.391,0.6992695,0.66227572,0.48143679,0.48752979,0.025,0.107,663,337,391,609
B1,1,20,six_stage,6-stage random composition,strict_random_six__profile=full_training_range_v1,2000,0.99560547,0.6105,0.60759494,0.624,0.597,0.61356629,0.61568821,0.610429,0.6105,0.2210806,0.5135,0.403,0.376,0.6551275,0.62413006,0.48969467,0.49208301,0.015,0.077,597,403,376,624
B2,2,0,clean,Clean,clean,2000,0.9921875,0.691,0.76164384,0.556,0.826,0.6503937,0.64277457,0.68526394,0.691,0.3967346,0.365,0.174,0.444,0.763233,0.75876213,0.46755687,0.47670825,0.112,0.25,826,174,444,556
B2,2,1,single_stage,JPEG Q90,jpeg__quality=90,2000,0.9921875,0.696,0.7565445,0.578,0.814,0.65857605,0.6553288,0.69170733,0.696,0.40339467,0.382,0.186,0.422,0.7741405,0.76863157,0.46805488,0.47777222,0.12,0.265,814,186,422,578
B2,2,2,single_stage,JPEG Q70,jpeg__quality=70,2000,0.9921875,0.682,0.72195122,0.592,0.772,0.65423729,0.65054945,0.67940317,0.682,0.37004407,0.41,0.228,0.408,0.7610255,0.75282868,0.47388941,0.48112476,0.091,0.241,772,228,408,592
B2,2,3,single_stage,JPEG Q50,jpeg__quality=50,2000,0.9921875,0.676,0.79830508,0.471,0.881,0.6248227,0.59245283,0.66178658,0.676,0.38592872,0.295,0.119,0.529,0.786153,0.78372092,0.46964488,0.47776318,0.141,0.302,881,119,529,471
B2,2,4,single_stage,JPEG Q30,jpeg__quality=30,2000,0.9921875,0.6735,0.78489327,0.478,0.869,0.62473041,0.59415786,0.66052519,0.6735,0.37701381,0.3045,0.131,0.522,0.758298,0.75895557,0.47224477,0.47908508,0.126,0.25,869,131,522,478
B2,2,5,single_stage,Gaussian blur sigma=0.5,gaussian_blur__sigma=0.5,2000,0.9921875,0.678,0.83208955,0.446,0.91,0.6215847,0.58072917,0.65968277,0.678,0.40188062,0.268,0.09,0.554,0.794029,0.79181036,0.45838983,0.47049255,0.113,0.303,910,90,554,446
B2,2,6,single_stage,Gaussian blur sigma=1.0,gaussian_blur__sigma=1.0,2000,0.9921875,0.5505,0.95495495,0.106,0.995,0.52673372,0.19081908,0.43981937,0.5505,0.22056871,0.0555,0.005,0.894,0.7876775,0.78484621,0.42653377,0.44462488,0.16,0.29,995,5,894,106
B2,2,7,single_stage,Gaussian blur sigma=2.0,gaussian_blur__sigma=2.0,2000,0.9921875,0.5025,1.0,0.005,1.0,0.50125313,0.00995025,0.33886494,0.5025,0.05006262,0.0025,0.0,0.995,0.7984205,0.78718347,0.41102847,0.42808765,0.12,0.29,1000,0,995,5
B2,2,8,single_stage,Resize 0.5 bicubic,resize__interpolation=bicubic_scale=0.5,2000,0.9921875,0.5025,1.0,0.005,1.0,0.50125313,0.00995025,0.33886494,0.5025,0.05006262,0.0025,0.0,0.995,0.7850375,0.78660327,0.41151114,0.42615039,0.182,0.318,1000,0,995,5
B2,2,9,single_stage,Resize 0.25 bilinear,resize__interpolation=bilinear_scale=0.25,2000,0.9921875,0.5,0.0,0.0,1.0,0.5,0.0,0.33333333,0.5,0.0,0.0,0.0,1.0,0.786758,0.78281376,0.40986208,0.42444482,0.119,0.303,1000,0,1000,0
B2,2,10,single_stage,Gaussian noise sigma=0.02,gaussian_noise__sigma=0.02,2000,0.9921875,0.5005,1.0,0.001,1.0,0.50025013,0.001998,0.33444348,0.5005,0.02236627,0.0005,0.0,0.999,0.776472,0.77007737,0.35000287,0.3668363,0.118,0.278,1000,0,999,1
B2,2,11,single_stage,Gaussian noise sigma=0.05,gaussian_noise__sigma=0.05,2000,0.9921875,0.5,0.0,0.0,1.0,0.5,0.0,0.33333333,0.5,0.0,0.0,0.0,1.0,0.789487,0.78493014,0.35750169,0.37581067,0.141,0.303,1000,0,1000,0
B2,2,12,single_stage,Gaussian noise sigma=0.10,gaussian_noise__sigma=0.1,2000,0.9921875,0.5,0.0,0.0,1.0,0.5,0.0,0.33333333,0.5,0.0,0.0,0.0,1.0,0.7768245,0.77915643,0.37856901,0.39397607,0.159,0.302,1000,0,1000,0
B2,2,13,single_stage,Color jitter 0.8/0.8/0.8,color_jitter__brightness=0.8_contrast=0.8_saturation=0.8,2000,0.9921875,0.686,0.79153605,0.505,0.867,0.63656388,0.61660562,0.67536462,0.686,0.39906537,0.319,0.133,0.495,0.770788,0.77251749,0.46220125,0.47238745,0.106,0.332,867,133,495,505
B2,2,14,single_stage,Color jitter 1.2/1.2/1.2,color_jitter__brightness=1.2_contrast=1.2_saturation=1.2,2000,0.9921875,0.592,0.859375,0.22,0.964,0.55275229,0.35031847,0.52647119,0.592,0.27537506,0.128,0.036,0.78,0.763651,0.76134741,0.4258542,0.44272241,0.102,0.277,964,36,780,220
B2,2,15,single_stage,Center crop ratio=0.8,center_crop__ratio=0.8,2000,0.9921875,0.5,0.0,0.0,1.0,0.5,0.0,0.33333333,0.5,0.0,0.0,0.0,1.0,0.7537215,0.74945353,0.39233617,0.40507849,0.097,0.255,1000,0,1000,0
B2,2,16,two_stage,2-stage resize 0.5 + JPEG Q70,resize__interpolation=bicubic_scale=0.5__jpeg__quality=70,2000,0.9921875,0.585,0.84836066,0.207,0.963,0.54840547,0.33279743,0.51581816,0.585,0.25971184,0.122,0.037,0.793,0.733027,0.72179349,0.44579959,0.45733154,0.054,0.233,963,37,793,207
B2,2,17,two_stage,2-stage crop 0.8 + JPEG Q50,center_crop__ratio=0.8__jpeg__quality=50,2000,0.9921875,0.6585,0.82281059,0.404,0.913,0.60503645,0.54191818,0.63484908,0.6585,0.36827641,0.2455,0.087,0.596,0.767252,0.77165525,0.46857959,0.47601221,0.156,0.302,913,87,596,404
B2,2,18,four_stage,4-stage A platform repost,center_crop__ratio=0.85__resize__interpolation=bicubic_scale=0.5__gaussian_blur__sigma=1.0__jpeg__quality=50,2000,0.9921875,0.6235,0.85590778,0.297,0.95,0.57471264,0.44097996,0.57857516,0.6235,0.32613378,0.1735,0.05,0.703,0.7733675,0.77981167,0.46128625,0.47079883,0.113,0.297,950,50,703,297
B2,2,19,four_stage,4-stage B edit repost,color_jitter__brightness=1.15_contrast=1.15_saturation=0.85__resize__interpolation=bilinear_scale=0.5__gaussian_noise__sigma=0.05__jpeg__quality=50,2000,0.9921875,0.5415,0.84297521,0.102,0.981,0.52208622,0.18198037,0.4317335,0.5415,0.17406923,0.0605,0.019,0.898,0.6802195,0.68187761,0.46209466,0.46797339,0.064,0.173,981,19,898,102
B2,2,20,six_stage,6-stage random composition,strict_random_six__profile=full_training_range_v1,2000,0.9921875,0.5575,0.73279352,0.181,0.934,0.53280091,0.29029671,0.48441461,0.5575,0.17476659,0.1235,0.066,0.819,0.654255,0.64761828,0.4720953,0.47555005,0.041,0.139,934,66,819,181
M2,3,0,clean,Clean,clean,2000,0.99755859,0.84,0.82136106,0.869,0.811,0.86093418,0.84450923,0.83986533,0.84,0.68114665,0.529,0.189,0.131,0.919127,0.89483527,0.43910147,0.46519946,0.0,0.312,811,189,131,869
M2,3,1,single_stage,JPEG Q90,jpeg__quality=90,2000,0.99755859,0.843,0.82666667,0.868,0.818,0.86105263,0.84682927,0.84290181,0.843,0.68685911,0.525,0.182,0.132,0.9208075,0.89796737,0.43877237,0.46497717,0.0,0.312,818,182,132,868
M2,3,2,single_stage,JPEG Q70,jpeg__quality=70,2000,0.99755859,0.8355,0.81740776,0.864,0.807,0.85577943,0.84005834,0.83536628,0.8355,0.6720927,0.5285,0.193,0.136,0.9105775,0.88296891,0.44546818,0.46912109,0.0,0.266,807,193,136,864
M2,3,3,single_stage,JPEG Q50,jpeg__quality=50,2000,0.99755859,0.8325,0.79874214,0.889,0.776,0.87485908,0.84145764,0.83196359,0.8325,0.66928679,0.5565,0.224,0.111,0.90729,0.87862858,0.45759897,0.4763606,0.0,0.288,776,224,111,889
M2,3,4,single_stage,JPEG Q30,jpeg__quality=30,2000,0.99755859,0.8325,0.80365297,0.88,0.785,0.86740331,0.84009547,0.83212122,0.8325,0.66802128,0.5475,0.215,0.12,0.9020625,0.87100824,0.45608507,0.4754375,0.0,0.268,785,215,120,880
M2,3,5,single_stage,Gaussian blur sigma=0.5,gaussian_blur__sigma=0.5,2000,0.99755859,0.8495,0.83381089,0.873,0.826,0.86673662,0.85295554,0.84941684,0.8495,0.69977333,0.5235,0.174,0.127,0.9223585,0.89678928,0.43889442,0.46526794,0.0,0.289,826,174,127,873
M2,3,6,single_stage,Gaussian blur sigma=1.0,gaussian_blur__sigma=1.0,2000,0.99755859,0.846,0.80948122,0.905,0.787,0.89229025,0.85457979,0.84546205,0.846,0.69686861,0.559,0.213,0.095,0.9233665,0.89674217,0.46717392,0.48206299,0.0,0.26,787,213,95,905
M2,3,7,single_stage,Gaussian blur sigma=2.0,gaussian_blur__sigma=2.0,2000,0.99755859,0.813,0.76615646,0.901,0.725,0.87985437,0.828125,0.81154057,0.813,0.63592671,0.588,0.275,0.099,0.895572,0.86195783,0.47884626,0.48840796,0.0,0.191,725,275,99,901
M2,3,8,single_stage,Resize 0.5 bicubic,resize__interpolation=bicubic_scale=0.5,2000,0.99755859,0.837,0.80470163,0.89,0.784,0.87695749,0.84520418,0.83654084,0.837,0.67781874,0.553,0.216,0.11,0.915666,0.88765724,0.46326507,0.47976978,0.23,0.23,784,216,110,890
M2,3,9,single_stage,Resize 0.25 bilinear,resize__interpolation=bilinear_scale=0.25,2000,0.99755859,0.815,0.78740876,0.863,0.767,0.84845133,0.82347328,0.81457278,0.815,0.63292326,0.548,0.233,0.137,0.8874315,0.84954738,0.47648524,0.48699121,0.122,0.122,767,233,137,863
M2,3,10,single_stage,Gaussian noise sigma=0.02,gaussian_noise__sigma=0.02,2000,0.99755859,0.8255,0.8284561,0.821,0.83,0.82259663,0.8247112,0.82549647,0.8255,0.65102637,0.4955,0.17,0.179,0.905378,0.87878178,0.44675498,0.46972754,0.212,0.522,830,170,179,821
M2,3,11,single_stage,Gaussian noise sigma=0.05,gaussian_noise__sigma=0.05,2000,0.99755859,0.817,0.81827309,0.815,0.819,0.81573705,0.81663327,0.81699927,0.817,0.63400507,0.498,0.181,0.185,0.8945365,0.86773035,0.45644496,0.47536475,0.2,0.2,819,181,185,815
M2,3,12,single_stage,Gaussian noise sigma=0.10,gaussian_noise__sigma=0.1,2000,0.99755859,0.793,0.78065134,0.815,0.771,0.80648536,0.79745597,0.79289976,0.793,0.58656807,0.522,0.229,0.185,0.876394,0.84513094,0.47114471,0.48370947,0.0,0.191,771,229,185,815
M2,3,13,single_stage,Color jitter 0.8/0.8/0.8,color_jitter__brightness=0.8_contrast=0.8_saturation=0.8,2000,0.99755859,0.842,0.84615385,0.836,0.848,0.83794466,0.84104628,0.84199431,0.842,0.68404925,0.494,0.152,0.164,0.9191645,0.89789267,0.44866425,0.47098535,0.194,0.516,848,152,164,836
M2,3,14,single_stage,Color jitter 1.2/1.2/1.2,color_jitter__brightness=1.2_contrast=1.2_saturation=1.2,2000,0.99755859,0.8275,0.81703775,0.844,0.811,0.83867632,0.83030005,0.82745302,0.8275,0.65535694,0.5165,0.189,0.156,0.9079805,0.88593966,0.45586236,0.47507886,0.0,0.283,811,189,156,844
M2,3,15,single_stage,Center crop ratio=0.8,center_crop__ratio=0.8,2000,0.99755859,0.8295,0.81114259,0.859,0.8,0.8501594,0.83438562,0.82935149,0.8295,0.66014999,0.5295,0.2,0.141,0.9041765,0.87683568,0.45189037,0.47280518,0.239,0.239,800,200,141,859
